region_i,region_j,deltaE00,deltaE76
gamut_010_cycyy,gamut_015_ccycc,23.199738934325634,43.96702410735463
gamut_010_cycyy,gamut_016_c,52.19690291677865,95.38796549911774
gamut_010_cycyy,gamut_017_ccmcc,52.03609680141398,94.28696147955631
gamut_010_cycyy,gamut_018_ccmc,52.27932586201214,94.37956973538239
gamut_010_cycyy,gamut_019_ccm,51.66179745843911,92.40910308075203
gamut_010_cycyy,gamut_020_ccmcm,51.57087771342551,92.54923229503639
gamut_010_cycyy,gamut_021_cm,51.04959066724665,92.13385106529685
gamut_010_cycyy,gamut_022_cmcmm,50.58235402577409,93.02503265129003
gamut_010_cycyy,gamut_023_cmm,64.51475806632563,93.09309003381856
gamut_010_cycyy,gamut_024_mcmm,64.69350886996193,92.44180936528365
gamut_010_cycyy,gamut_025_mmcmm,65.77350119597871,94.1773520607949
gamut_010_cycyy,gamut_026_m,67.06522117682105,97.24549786018406
gamut_010_cycyy,gamut_027_mmymm,56.23007090643306,77.11533625766896
gamut_010_cycyy,gamut_028_mmym,53.101752728166595,72.47853567568949
gamut_010_cycyy,gamut_029_mmy,48.50907076419635,66.21674617770019
gamut_010_cycyy,gamut_030_mmymy,45.95149469477975,63.156086359927485
gamut_011_cy,gamut_012_ccycy,4.602670999333248,10.632494274668739
gamut_011_cy,gamut_013_ccy,8.00398755875551,17.496694673247713
gamut_011_cy,gamut_014_ccyc,15.248877030738054,30.347557288760534
gamut_011_cy,gamut_015_ccycc,21.384521892786182,39.0111996647085
gamut_011_cy,gamut_016_c,49.73999499499303,90.65082494339482
gamut_011_cy,gamut_017_ccmcc,49.78766556982987,89.72710192721779
gamut_011_cy,gamut_018_ccmc,50.11063179639021,89.88492409805484
gamut_011_cy,gamut_019_ccm,49.619578517841234,88.00357548194052
gamut_011_cy,gamut_020_ccmcm,49.59224489923367,88.19416843155628
gamut_011_cy,gamut_021_cm,49.21632892021825,87.88911657324765
gamut_011_cy,gamut_022_cmcmm,48.8892010893401,88.89337507660754
gamut_011_cy,gamut_023_cmm,48.631846427774896,89.04787747295674
gamut_011_cy,gamut_024_mcmm,63.246437409290316,88.54700247104091
gamut_011_cy,gamut_025_mmcmm,64.34895000895919,90.41571913820697
gamut_011_cy,gamut_026_m,65.90946758514211,94.25916556618745
gamut_011_cy,gamut_027_mmymm,55.57636427555883,74.7754360649999
gamut_011_cy,gamut_028_mmym,52.59818392024734,70.38586589769466
gamut_011_cy,gamut_029_mmy,48.194204004314344,64.48231076053801
gamut_011_cy,gamut_030_mmymy,45.74628119005993,61.68368510591528
gamut_012_ccycy,gamut_013_ccy,3.445289082413047,6.883881536607268
gamut_012_ccycy,gamut_014_ccyc,10.825690932668076,19.75288281770535
gamut_012_ccycy,gamut_015_ccycc,17.069781366998285,28.427571112798862
gamut_012_ccycy,gamut_016_c,44.34283975917344,80.2781771733132
gamut_012_ccycy,gamut_017_ccmcc,44.77309239147002,79.54575108765836
gamut_012_ccycy,gamut_018_ccmc,45.247783906989106,79.79486573688787
gamut_012_ccycy,gamut_019_ccm,45.002178574184796,78.04981817100669
gamut_012_ccycy,gamut_020_ccmcm,45.100518941934645,78.31748190945858
gamut_012_ccycy,gamut_021_cm,45.00857475124916,78.18642054374254
gamut_012_ccycy,gamut_022_cmcmm,44.949867776121344,79.36725107779154
gamut_012_ccycy,gamut_023_cmm,44.89364121289469,79.66356616474803
gamut_012_ccycy,gamut_024_mcmm,44.63657109944772,79.41840164751702
gamut_012_ccycy,gamut_025_mmcmm,60.06648336317407,81.50811995143323
gamut_012_ccycy,gamut_026_m,62.05283383717368,86.74572053168947
gamut_012_ccycy,gamut_027_mmymm,52.94907745609531,68.66603368731981
gamut_012_ccycy,gamut_028_mmym,50.325668380076486,64.82628353733307
gamut_012_ccycy,gamut_029_mmy,46.38204457311101,59.742483538365654
gamut_012_ccycy,gamut_030_mmymy,44.18647149110779,57.537182984593045
gamut_013_ccy,gamut_014_ccyc,7.440648239499022,12.877322146953501
gamut_013_ccy,gamut_015_ccycc,13.720576184003722,21.566131189792134
gamut_013_ccy,gamut_016_c,40.38948467029857,73.55250663482238
gamut_013_ccy,gamut_017_ccmcc,41.051991858005685,72.87162726766523
gamut_013_ccy,gamut_018_ccmc,41.62584554113972,73.16246170660939
gamut_013_ccy,gamut_019_ccm,41.55502923384732,71.49452869983955
gamut_013_ccy,gamut_020_ccmcm,41.74326119333957,71.80831489141381
gamut_013_ccy,gamut_021_cm,41.85606266677434,71.78638205873935
gamut_013_ccy,gamut_022_cmcmm,41.98577429484003,73.08388069592002
gamut_013_ccy,gamut_023_cmm,42.06779958277205,73.4737721904621
gamut_013_ccy,gamut_024_mcmm,42.04450632845594,73.40084731243752
gamut_013_ccy,gamut_025_mmcmm,42.282664964574025,75.64076512744741
gamut_013_ccy,gamut_026_m,59.025254715311014,81.84961448146333
gamut_013_ccy,gamut_027_mmymm,50.959024611345136,64.85563977838667
gamut_013_ccy,gamut_028_mmym,48.622285205443426,61.4442451527456
gamut_013_ccy,gamut_029_mmy,45.04430955041898,57.0049635569059
gamut_013_ccy,gamut_030_mmymy,43.035887435194965,55.25855905844364
