region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_o,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
21,coy_full_021_cyoco,coy,full,cmycy,cyoco,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.34641016151377546,#b0ad62,0.6909803921568628,0.6799999999999999,0.3858823529411765,69.60073469065115,-9.924189578700505,38.73453948514862,"[[0.4000000000000001, 0.2790526301083191], [0.42499999999999993, 0.27424137786507224], [0.475, 0.36084391824351614], [0.45833333333333337, 0.38008892721650356], [0.33333333333333326, 0.4041451884327379], [0.31666666666666676, 0.37527767497325687]]",6,5,5,full
22,coy_full_022_ccoco,coy,full,ccycy,ccoco,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#89a98e,0.5364705882352941,0.6619607843137254,0.5584313725490196,66.18799823635786,-16.31857019722094,10.042692270695408,"[[0.24999999999999994, 0.27905263010831904], [0.2833333333333333, 0.35603266600026917], [0.22500000000000003, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,5,5,full
23,coy_full_023_cco,coy,full,ccy,cco,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#7cae9b,0.4849673202614379,0.6823529411764705,0.6091503267973857,67.20853974722671,-20.729985445494147,4.239399619416795,"[[0.20833333333333337, 0.21650635094610968], [0.2333333333333333, 0.2309401076758503], [0.24999999999999997, 0.2501851166488378], [0.24999999999999997, 0.27905263010831904], [0.1833333333333333, 0.3175426480542941], [0.14583333333333334, 0.2525907427704613]]",6,5,5,full
24,coy_full_024_cycoco,coy,full,cmcycy,cycoco,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.28867513459481287,#9db277,0.6137254901960785,0.6973856209150325,0.4653594771241831,69.62322886779987,-17.629861446073257,27.88283499973332,"[[0.31666666666666676, 0.23094010767585027], [0.4000000000000001, 0.2790526301083191], [0.31666666666666676, 0.3752776749732568], [0.2833333333333334, 0.3560326660002692], [0.24999999999999994, 0.279052630108319], [0.24999999999999994, 0.2501851166488378]]",6,5,5,full
25,coy_full_025_ccco,coy,full,cccy,ccco,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#6bb5ac,0.42058823529411765,0.707843137254902,0.6725490196078432,68.71019047163973,-25.032710154815952,-2.6037191005717997,"[[0.175, 0.15877132402714708], [0.20833333333333334, 0.21650635094610968], [0.14583333333333334, 0.2525907427704613], [0.11249999999999999, 0.1948557158514987]]",6,5,5,full
26,coy_full_026_cccco,coy,full,ccccy,cccco,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#61b8b5,0.3819607843137255,0.7231372549019608,0.7105882352941177,69.71997196396055,-26.967901962533347,-6.5004972507528125,"[[0.16666666666666669, 0.11547005383792511], [0.175, 0.15877132402714705], [0.11249999999999999, 0.19485571585149866], [0.09166666666666666, 0.15877132402714705]]",6,5,5,full
27,coy_full_027_ccccco,coy,full,cccccy,ccccco,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.08333333333333333,0.14433756729740643,#5bbbbc,0.3562091503267974,0.7333333333333333,0.7359477124183007,70.43433600928462,-27.997070577618743,-9.015943147154438,"[[0.16666666666666663, 0.0962250448649376], [0.16666666666666663, 0.11547005383792514], [0.09166666666666666, 0.15877132402714705], [0.041666666666666664, 0.07216878364870322], [0.08333333333333333, 0.048112522432468816]]",6,5,5,full
28,coy_full_028_c,coy,full,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.08333333333333333, 0.048112522432468816], [0.041666666666666664, 0.07216878364870322], [0.0, 0.0], [0.08333333333333333, 0.0]]",6,5,5,full
29,coy_full_029_cyco,coy,full,cmcy,cyco,0.5,0.25,0.25,0.5,0.25,0.25,0.375,0.21650635094610965,#9dba75,0.6137254901960785,0.7303921568627451,0.45686274509803926,71.96934661275603,-22.16623720355776,32.09950038966218,"[[0.44166666666666676, 0.20688384645961588], [0.45, 0.23094010767585005], [0.4249999999999999, 0.27424137786507224], [0.4, 0.2790526301083191], [0.31666666666666676, 0.23094010767585027], [0.3583333333333334, 0.1587713240271471]]",6,5,5,full
30,coy_full_030_ccyco,coy,full,ccmcy,ccyco,0.6,0.2,0.2,0.6,0.2,0.2,0.30000000000000004,0.17320508075688773,#89bd89,0.5364705882352941,0.7411764705882353,0.5380392156862746,71.8979515344492,-27.41437244787681,20.836415702349864,"[[0.34166666666666673, 0.09141379262169073], [0.3583333333333334, 0.15877132402714716], [0.31666666666666676, 0.23094010767585027], [0.24999999999999997, 0.2501851166488378], [0.23333333333333336, 0.23094010767585035], [0.31666666666666665, 0.08660254037844387]]",6,5,5,full
