region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_m,f_v,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
21,mvy_full_021_myvmv,mvy,full,cmycy,myvmv,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.34641016151377546,#af59a2,0.6847058823529413,0.35058823529411764,0.6352941176470589,50.557809384601754,44.680061251492155,-24.00301884887872,"[[0.4000000000000001, 0.2790526301083191], [0.42499999999999993, 0.27424137786507224], [0.475, 0.36084391824351614], [0.45833333333333337, 0.38008892721650356], [0.33333333333333326, 0.4041451884327379], [0.31666666666666676, 0.37527767497325687]]",6,5,5,full
22,mvy_full_022_mmvmv,mvy,full,ccycy,mmvmv,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#a332c0,0.6376470588235295,0.1952941176470588,0.7529411764705883,43.967119452573655,64.70709587811146,-52.10656105438327,"[[0.24999999999999994, 0.27905263010831904], [0.2833333333333333, 0.35603266600026917], [0.22500000000000003, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,5,5,full
23,mvy_full_023_mmv,mvy,full,ccy,mmv,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#a82eb9,0.6588235294117647,0.17908496732026144,0.7254901960784315,43.88265939050312,65.9120756649047,-48.09967666173325,"[[0.20833333333333337, 0.21650635094610968], [0.2333333333333333, 0.2309401076758503], [0.24999999999999997, 0.2501851166488378], [0.24999999999999997, 0.27905263010831904], [0.1833333333333333, 0.3175426480542941], [0.14583333333333334, 0.2525907427704613]]",6,5,5,full
24,mvy_full_024_mymvmv,mvy,full,cmcycy,mymvmv,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.28867513459481287,#b24fa0,0.6980392156862746,0.3084967320261438,0.627450980392157,48.94450238749407,50.67656391025505,-25.279259740744298,"[[0.31666666666666676, 0.23094010767585027], [0.4000000000000001, 0.2790526301083191], [0.31666666666666676, 0.3752776749732568], [0.2833333333333334, 0.3560326660002692], [0.24999999999999994, 0.279052630108319], [0.24999999999999994, 0.2501851166488378]]",6,5,5,full
25,mvy_full_025_mmmv,mvy,full,cccy,mmmv,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#af29b0,0.6852941176470588,0.1588235294117647,0.6911764705882353,43.920086818262064,67.37604791481428,-42.82222230746968,"[[0.175, 0.15877132402714708], [0.20833333333333334, 0.21650635094610968], [0.14583333333333334, 0.2525907427704613], [0.11249999999999999, 0.1948557158514987]]",6,5,5,full
26,mvy_full_026_mmmmv,mvy,full,ccccy,mmmmv,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#b325ab,0.7011764705882353,0.14666666666666667,0.6705882352941177,44.01776554377584,68.22803130910299,-39.514756479993764,"[[0.16666666666666669, 0.11547005383792511], [0.175, 0.15877132402714705], [0.11249999999999999, 0.19485571585149866], [0.09166666666666666, 0.15877132402714705]]",6,5,5,full
27,mvy_full_027_mmmmmv,mvy,full,cccccy,mmmmmv,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.08333333333333333,0.14433756729740643,#b623a8,0.711764705882353,0.13856209150326795,0.6568627450980392,44.11362122013136,68.78409705244675,-37.252341500297995,"[[0.16666666666666663, 0.0962250448649376], [0.16666666666666663, 0.11547005383792514], [0.09166666666666666, 0.15877132402714705], [0.041666666666666664, 0.07216878364870322], [0.08333333333333333, 0.048112522432468816]]",6,5,5,full
28,mvy_full_028_m,mvy,full,c,m,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#c31996,0.7647058823529411,0.09803921568627451,0.5882352941176471,44.94517938493525,71.41561872915153,-25.286338363609783,"[[0.08333333333333333, 0.048112522432468816], [0.041666666666666664, 0.07216878364870322], [0.0, 0.0], [0.08333333333333333, 0.0]]",6,5,5,full
29,mvy_full_029_mymv,mvy,full,cmcy,mymv,0.5,0.25,0.25,0.5,0.25,0.25,0.375,0.21650635094610965,#be5a8b,0.7441176470588236,0.3529411764705882,0.5441176470588236,51.93509846171875,45.59958622229854,-7.976418316091971,"[[0.44166666666666676, 0.20688384645961588], [0.45, 0.23094010767585005], [0.4249999999999999, 0.27424137786507224], [0.4, 0.2790526301083191], [0.31666666666666676, 0.23094010767585027], [0.3583333333333334, 0.1587713240271471]]",6,5,5,full
30,mvy_full_030_mmymv,mvy,full,ccmcy,mmymv,0.6,0.2,0.2,0.6,0.2,0.2,0.30000000000000004,0.17320508075688773,#bf4d8d,0.7482352941176471,0.30196078431372547,0.5529411764705883,49.8388474646661,52.42486739955521,-12.446958293342348,"[[0.34166666666666673, 0.09141379262169073], [0.3583333333333334, 0.15877132402714716], [0.31666666666666676, 0.23094010767585027], [0.24999999999999997, 0.2501851166488378], [0.23333333333333336, 0.23094010767585035], [0.31666666666666665, 0.08660254037844387]]",6,5,5,full
