region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_g,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
11,cgm_full_011_cgmg,cgm,full,cymy,cgmg,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#4f988e,0.3107843137254902,0.5950980392156863,0.5568627450980392,58.036864538995715,-25.171779471318988,-1.891617884141339,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full
12,cgm_full_012_cgmgg,cgm,full,cymyy,cgmgg,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#46a085,0.27372549019607845,0.6258823529411764,0.5231372549019608,59.88921154498536,-33.364988488218785,5.628881704631916,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full
13,cgm_full_013_cgmggg,cgm,full,cymyyy,cgmggg,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#40a580,0.24901960784313726,0.64640522875817,0.5006535947712418,61.19531025096427,-38.45126068116428,10.675703893144807,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full
14,cgm_full_014_cggggg,cgm,full,cyyyyy,cggggg,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#24c177,0.14248366013071895,0.7549019607843137,0.46732026143790845,69.20760059093529,-55.532395145979685,26.201440610570415,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full
15,cgm_full_015_cgggg,cgm,full,cyyyy,cgggg,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#25c17b,0.14588235294117646,0.756078431372549,0.48313725490196074,69.38451407457569,-54.74696762165026,24.313311520147906,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full
16,cgm_full_016_cggg,cgm,full,cyyy,cggg,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#27c181,0.15098039215686274,0.7578431372549019,0.5068627450980392,69.65493206278121,-53.52558376648942,21.47080457762005,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full
17,cgm_full_017_cgg,cgm,full,cyy,cgg,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#29c28b,0.15947712418300652,0.7607843137254902,0.5464052287581699,70.11909101034699,-51.379409770592524,16.71680620874161,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full
18,cgm_full_018_cgcgmg,cgm,full,cycymy,cgcgmg,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#44a694,0.26601307189542484,0.6522875816993464,0.5797385620915033,62.2938489256923,-33.300461922228905,0.9876508179321064,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full
19,cgm_full_019_cgcgg,cgm,full,cycyy,cgcgg,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#2ac393,0.16627450980392156,0.7631372549019607,0.5780392156862745,70.5025168827149,-49.568329246796715,12.90872904585223,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full
20,cgm_full_020_cg,cgm,full,cy,cg,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#2dc3a0,0.1764705882352941,0.7666666666666666,0.6254901960784314,71.09773669582923,-46.70624234791809,7.204954127429208,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full
21,cgm_full_021_cmgcg,cgm,full,cmycy,cmgcg,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.34641016151377546,#4ba19e,0.29411764705882354,0.6329411764705882,0.6180392156862745,61.288777286455314,-26.840258973581776,-5.954007937507622,"[[0.4000000000000001, 0.2790526301083191], [0.42499999999999993, 0.27424137786507224], [0.475, 0.36084391824351614], [0.45833333333333337, 0.38008892721650356], [0.33333333333333326, 0.4041451884327379], [0.31666666666666676, 0.37527767497325687]]",6,5,5,full
22,cgm_full_022_ccgcg,cgm,full,ccycy,ccgcg,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#30c4ac,0.18666666666666665,0.7701960784313725,0.6729411764705883,71.71688235528099,-43.684436947561466,1.5272197876999183,"[[0.24999999999999994, 0.27905263010831904], [0.2833333333333333, 0.35603266600026917], [0.22500000000000003, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,5,5,full
